mileage,engine_capacity,manufacture_year,model,fuel_type_Petrol,price
119000,650,2017,Wagon R Fx,False,6000000
150000,650,2015,Wagon R Stingray,False,5750000
78195,650,2018,Wagon R Fx,False,5975000
122000,1000,2015,Celerio,True,4800000
79000,660,2019,Wagon R Stingray,True,7400000
106000,650,2014,Wagon R Stingray,True,5650000
5000,650,2023,Alto,True,6545000
103323,1240,2017,Swift,False,8395000
140000,660,2015,Wagon R Stingray,False,5750000
77000,650,2018,Wagon R Stingray,False,6800000
78000,660,2017,Wagon R Fz,False,6175000
148000,660,2015,Wagon R Stingray,False,5650000
50000,660,2025,Wagon R Stingray,False,8800000
63024,650,2017,Wagon R Stingray,True,7090000
52600,650,2018,Wagon R Stingray,False,7000000
109000,660,2014,Wagon R Stingray,True,5625000
87800,660,2016,Alto,True,5200000
130000,996,2015,Celerio,True,5300000
74156,650,2017,Wagon R Fz,False,6650000
112000,1000,2017,Swift,True,8290000
172000,650,2015,Wagon R,True,5650000
117500,990,2017,Swift,True,7900000
129000,1000,2016,Celerio,True,5375000
146000,1000,2016,Celerio,True,5250000
132765,650,2007,Alto,True,4290000
145000,1000,2011,A-Star,True,4485000
3500,660,2024,Wagon R Fx,False,7500000
131287,998,2011,A-Star,True,4590001
134000,660,2017,Hustler,False,5850000
106364,650,2018,Wagon R Fz,False,6590000
107000,660,2017,Wagon R Fx,True,6100000
190000,660,2016,Wagon R Fx,True,5950000
93000,1000,2015,Celerio,True,4925000
20000,660,2023,Spacia,False,8450000
155000,650,2017,Wagon R Stingray,True,6850000
8000,650,2024,Wagon R Fx,True,7490000
48000,650,2016,Wagon R Fx,True,5850000
60000,1200,2017,Swift,False,8050000
81300,650,2017,Wagon R Fz,True,6500000
15600,1240,2011,Swift,True,5495000
108700,998,2017,Celerio,True,5500000
84900,650,2015,Wagon R Fz,False,5990000
94000,1000,2013,A-Star,True,4475000
45000,650,2017,Wagon R,True,6500000
178000,650,2014,Wagon R Stingray,True,5520000
87570,996,2015,Celerio,True,5275000
146982,650,2018,Wagon R Fx,False,6375000
74273,650,2018,Wagon R Fz,False,6895002
94211,650,2014,Wagon R Fz,False,5575000
116811,998,2013,A-Star,True,4690000
18326,650,2024,Hustler,False,8000000
112000,650,2016,Spacia,True,6275000
130000,660,2017,Hustler,False,5700000
68311,650,2018,Wagon R Stingray,False,6895000
119220,1300,2008,Swift,True,5290000
93000,1500,2014,Aqua,True,7600000
97000,1000,2018,Swift,True,8400000
10000,650,2023,Wagon R Fx,False,7290000
88000,660,2014,Wagon R Stingray,False,5675000
126000,660,2017,Wagon R Fz,False,6200000
142000,1300,2007,Swift,True,5300000
173785,1320,2005,Swift,True,5250000
59392,650,2018,Wagon R Stingray,False,6990002
70000,1200,2017,Swift,True,8900000
87645,650,2017,Wagon R Fz,False,6890000
82699,650,2017,Wagon R Fx,False,6090000
9500,650,2024,Hustler,True,8250000
74800,650,2017,Wagon R Fz,False,6800000
131000,660,2017,Wagon R Fx,True,5550000
54149,1000,2015,Celerio,True,5200000
158000,1300,2009,Swift,True,5600000
90000,1000,2011,A-Star,True,3850000
54000,660,2018,Wagon R,False,7550000
141500,1240,2007,Swift,True,4750000
159945,650,2016,Alto,True,5275000
68206,650,2018,Wagon R Fz,False,6790000
105000,650,2016,Wagon R Stingray,True,5800000
122300,660,2017,Wagon R Fx,False,5900000
123000,650,2017,Wagon R Stingray,True,6700000
105721,650,2017,Wagon R Fx,False,5650000
102000,1000,2016,Celerio,True,5075000
121914,650,2016,Alto,True,5475000
113000,650,2018,Wagon R Fz,True,6650000
88000,650,2014,Wagon R Stingray,False,5850000
35565,650,2016,Wagon R Fx,False,6000000
67499,1000,2019,Baleno,True,8050000
85329,1000,2016,Celerio,True,5550000
110000,1000,2017,Celerio,True,5475000
55000,1000,2015,Celerio,True,5425000
142000,1000,2015,Celerio,True,4850000
79000,1000,2015,Celerio,True,5450000
92225,998,2012,A-Star,True,4350000
93611,650,2017,Wagon R Fz,True,6495000
65000,1000,2015,Celerio,True,5500000
85000,650,2016,Wagon R Fz,False,5350000
115000,1000,2016,Celerio,True,5290000
131500,660,2017,Wagon R Stingray,True,7150000
125000,1300,2007,Swift,True,5475000
80364,650,2017,Wagon R Fz,False,6790000
82400,660,2018,Wagon R Stingray,False,6650000
71000,1000,2016,Celerio,True,5175000
116811,998,2013,A-Star,True,4790000
114000,660,2016,Wagon R Fz,True,5575000
134521,650,2018,Wagon R Fx,False,5850000
145000,650,2017,Wagon R Fx,False,5650000
67790,660,2018,Alto,True,6000000
139500,650,2008,Alto,True,3940000
4000,660,2023,Mira,True,6390000
124000,650,2017,Wagon R Stingray,True,6724000
73557,650,2018,Wagon R Stingray,False,7195000
86900,1000,2015,Celerio,True,5550000
115000,1300,2017,Swift,False,7900000
131000,1000,2014,Celerio,True,4990000
131000,660,2016,Wagon R Fx,True,5550000
102000,660,2017,Wagon R Fz,False,6200000
169999,1300,2014,Swift,True,6500000
94000,1000,2016,Celerio,True,4975000
144999,998,2015,Celerio,True,4800000
89800,1000,2015,Celerio,True,5150000
107701,1490,2010,Swift,True,5595000
126878,650,2017,Wagon R Fz,True,6775000
119000,660,2014,Wagon R Stingray,False,5800000
94000,660,2018,Wagon R Fx,True,6700000
3600,660,2024,Wagon R,True,7030000
134575,1000,2012,A-Star,True,4300000
102000,650,2015,Wagon R Fz,False,6100000
120000,1300,2013,Fit,False,6975000
88000,1300,2017,Swift,True,7395000
171000,660,2017,Wagon R Fz,False,6300000
5,660,2025,Wagon R Fx,False,8200000
137424,1300,2007,Swift,True,5175000
67600,1000,2017,Swift,True,8275000
138786,1000,2016,Celerio,True,4800000
26000,1000,2018,Celerio,True,5825000
131000,1320,2007,Swift,True,5600000
93390,650,2015,Wagon R Stingray,True,5700000
61500,650,2018,Wagon R Fz,False,6650000
128500,650,2010,Alto,True,4550000
78000,900,2017,Celerio,True,5725000
102000,650,2017,Wagon R Fx,True,5900000
92000,1200,2017,Swift,True,7750000
56423,650,2017,Wagon R Stingray,False,6990000
72676,650,2018,Wagon R Stingray,False,7095000
56000,1000,2018,Swift,True,8850000
122000,660,2017,Wagon R Fz,False,6450000
78195,650,2018,Wagon R Fx,False,5975001
0,660,2024,Taft,True,8300000
8500,650,2024,Wagon R,True,8700000
72500,1000,2017,Swift,True,7750000
83000,650,2017,Alto,True,6500000
96883,650,2015,Hustler,True,5890000
109000,1000,2017,Swift,True,8300000
93500,650,2015,Wagon R,False,6050000
93000,650,2016,Spacia,False,5690000
130800,1300,2010,Swift,True,5890000
96000,650,2017,Alto,True,5600000
86000,650,2018,Wagon R Stingray,False,5750000
65118,650,2017,Wagon R Fx,False,5990000
85000,650,2017,Wagon R Fx,True,6275000
6505,650,2024,Wagon R Fx,True,7450000
76305,650,2018,Wagon R Fz,False,6590000
121000,660,2016,Spacia,True,5600000
153000,650,2014,Wagon R Fz,False,5490000
167500,1000,2015,Celerio,True,4600000
57000,1000,2015,Celerio,True,5800000
2000,660,2024,Alto,True,6950000
6000,650,2024,Alto,True,6695000
82000,660,2016,Wagon R,True,5700000
103000,660,2016,Alto,True,5250000
97246,650,2017,Wagon R Fx,False,5825000
79000,660,2018,Alto,True,5400000
73000,1000,2017,Tank,True,8190000
210000,1500,2008,Prius,False,6100000
73000,1000,2016,Vitz,True,7275000
145000,1000,2015,Passo,True,6050000
126000,1800,2011,Prius,False,10000000
92000,1000,2015,Vitz,True,6900000
144000,1500,2015,Aqua,False,8000000
61900,1000,2017,Vitz,True,7590000
