mileage,engine_capacity,manufacture_year,model,fuel_type_Petrol,price
132000,1500,2015,Fit,False,8000000
37770,990,2018,Vitz,True,8650000
120000,1300,2013,Fit,False,6975000
140000,1330,2011,Fit,False,6500000
80190,1500,2013,Fit,False,8200000
182000,1330,2012,Fit,False,5900000
132000,1339,2013,Fit,False,6475000
108000,1500,2014,Fit,True,7500000
200000,1330,2013,Fit,False,6150000
163000,1500,2014,Fit,False,7290000
92000,1499,2013,Fit,True,7490000
69000,650,2017,N-Box,False,6690000
150000,1500,2013,Fit,False,7600000
128000,1330,2012,Fit,False,6000000
108000,1500,2014,Fit,True,8200000
129000,1339,2013,Fit,False,7525000
135000,1300,2013,Fit,False,6750000
159000,1330,2008,Fit,True,5850000
118280,1500,2015,Fit,True,8250000
133000,1500,2014,Fit,True,7400000
105736,1490,2014,Fit,False,7990000
145000,1500,2014,Fit,True,7875000
86000,1300,2014,Fit,True,7000000
38200,1300,2010,Fit,True,5950000
67000,660,2017,N-Box,True,6800000
98000,1200,2013,Fit,True,6800000
91000,1300,2008,Fit,True,5650000
152000,1330,2012,Fit,True,6849998
140211,1330,2010,Fit,True,5825000
194000,1500,2014,Fit,False,8350000
198000,1300,2010,Insight,True,7250000
130000,1330,2012,Fit,False,6585000
211250,1330,2007,Fit,True,4700000
145000,1500,2014,Fit,True,7950000
95000,1500,2015,Fit,False,7995000
152000,1500,2014,Fit,False,7150000
97000,1500,2014,Fit,False,7800000
94000,1500,2015,Fit,False,7900000
195000,1500,2015,Fit,False,7850000
186951,1339,2011,Fit,False,6400000
140000,1490,2015,Fit,False,7725000
103199,1496,2014,Fit,False,7250000
136000,1500,2012,Insight,True,8100000
84252,1330,2010,Fit,True,6590000
239000,1490,2014,Fit,False,7400000
173000,1300,2011,Fit,True,6550000
128000,1330,2011,Fit,True,5975000
160000,1500,2014,Fit,False,7250000
129000,1496,2014,Fit,False,7150000
96000,1500,2015,Fit,False,7995000
178900,1300,2022,Fit,True,4500000
147000,1500,2014,Fit,False,7590000
122000,1490,2014,Fit,False,7250000
41789,660,2019,N-Wgn,True,6450000
145000,1500,2012,Fit,False,7250000
200000,1490,2014,Fit,False,7500000
170000,1330,2013,Fit,True,6490000
126000,1300,2012,Fit,False,6525000
135000,1500,2016,Fit,False,8650000
141026,1500,2010,Fit,False,8000000
109000,1500,2014,Fit,False,7750000
175000,1500,2013,Fit,False,6875000
60100,1500,2014,Fit,False,8200000
183000,1300,2013,Fit,True,6500000
110000,1500,2013,Fit,False,7250000
172108,1490,2014,Fit,False,7490000
99350,1500,2013,Fit,False,7800000
109000,660,2014,Wagon R Stingray,True,5625000
12741,650,2023,Ek Wagon,True,7075000
121000,1000,2007,Vitz,True,5300000
96099,650,2015,Ek Wagon,True,5890000
